Brand,CC,Milage in kmpl,Fuel Type,Ratings,Rated By,Base Model Price,Top Model Price,Model
Porsche,3996.0,11.0, Petrol,5.0,1.0,14400000.0,24200000.0, Panamera
Porsche,3995.0,9.0, Petrol,4.3,6.0,8546000.0,16300000.0, 718
Porsche,2995.0,, Petrol,4.5,14.0,12000000.0,19200000.0, Cayenne
Porsche,2995.0,, Petrol,4.6,6.0,13100000.0,19800000.0, Cayenne Coupe
Ferrari,3855.0,, Petrol,4.5,2.0,36100000.0,, Roma
Ferrari,3855.0,9.0, Petrol,4.1,9.0,35000000.0,, Portofino
Ferrari,3990.0,, Petrol,4.7,10.0,75000000.0,, SF90 Stradale
Ferrari,6496.0,, Petrol,4.2,2.0,57500000.0,, 812
Ferrari,3902.0,, Petrol,5.0,1.0,40200000.0,, F8 Tributo
Maserati,2979.0,12.0, Petrol  Diesel,4.5,12.0,14900000.0,16400000.0, Levante
Maserati,3799.0,, Petrol,,,11500000.0,19300000.0, Ghibli
Maserati,2979.0,12.0, Petrol  Diesel,4.6,5.0,17100000.0,21100000.0, Quattroporte
Maserati,4691.0,10.0, Petrol  Diesel,4.5,4.0,22500000.0,25100000.0, GranTurismo
Maserati,4691.0,10.0, Petrol  Diesel,3.9,5.0,24600000.0,26900000.0, GranCabrio
ISUZU,1898.0,, Diesel,,,3322999.9999999995,3519000.0, MU-X
ISUZU,1898.0,, Diesel,4.7,2.0,1698000.0,2449000.0, D-Max
Aston,3982.0,, Diesel,,,38200000.0,, Martin DBX
Aston,3998.0,, Petrol,3.0,1.0,38000000.0,42000000.0, Martin DB11
Aston,3998.0,, Petrol,3.0,2.0,300000.0,350000.0, Martin Vantage
Land,2993.0,13.0, Petrol  Diesel,4.4,37.0,21000000.0,43800000.0, Rover Range Rover
Land,1997.0,, Petrol  Diesel,4.4,21.0,5904000.0,6305000.0, Rover Range Rover Evoque
Land,1997.0,16.0, Petrol,4.6,52.0,7528000.0,, Rover Range Rover Velar
Land,1997.0,14.0, Petrol  Diesel,4.6,16.0,7656999.999999999,11100000.0, Rover Defender
Land,1999.0,18.0, Petrol,4.3,13.0,7559000.0,8799000.0, Rover Discovery
Land,1999.0,, Petrol  Diesel,4.2,8.0,6530000.0,6795000.0, Rover Discovery Sport
Land,1997.0,13.0, Petrol  Diesel,4.6,33.0,9127000.0,18400000.0, Rover Range Rover Sport
Bentley,3956.0,, Petrol,5.0,1.0,41000000.0,, Bentayga
Bentley,2000.0,, Petrol  ,4.3,12.0,32900000.0,39100000.0, Continental
Bentley,5950.0,13.0, Petrol,4.8,4.0,30000000.0,35000000.0, Flying Spur
Lexus,3456.0,15.0, Petrol,4.3,17.0,19100000.0,22200000.0, LS
Lexus,2487.0,22.0, Petrol,4.6,26.0,5655000.0,6175000.0, ES
Lexus,3456.0,19.0, Petrol,4.6,17.0,10300000.0,, RX
Lexus,5663.0,7.0, Petrol,4.1,19.0,23200000.0,, LX
Lexus,2499.0,18.0, Petrol,5.0,1.0,5820000.0,6363000.0, NX
Lexus,3456.0,, Petrol,3.6,9.0,20900000.0,21500000.0, LC 500h
Citroen,1997.0,19.0, Diesel,4.0,4.0,2990000.0,3190000.0, C5 Aircross
